image_id,dimension,modality,within_mean,cross_mean,n_matched_pairs
160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,economic_status,justification,0.6534842386284184,0.5650108631198384,12
160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,economic_status,perception,0.5314405976676385,0.4703744973544974,12
160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,political_spectrum,caption,0.9323471895247746,0.9245681965540019,12
160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,political_spectrum,justification,0.6534842386284184,0.5694856798073794,12
160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,political_spectrum,perception,0.5314405976676385,0.46443796296296297,12
160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,personality,caption,0.9323471895247746,0.9286325087603035,24
160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,personality,justification,0.6534842386284184,0.6030083784323476,24
160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,personality,perception,0.5314405976676385,0.5020210714285714,24
16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by,gender,caption,0.9327609378541867,0.9205512886364456,12
16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by,gender,justification,0.6509959389333214,0.6383756383352288,12
16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by,gender,perception,0.6046914075153872,0.586232619047619,12
16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by,economic_status,caption,0.9327609378541865,0.9185078029403594,12
16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by,economic_status,justification,0.6509959389333215,0.5481763531286054,12
16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by,economic_status,perception,0.6046914075153871,0.5682192063492063,12
16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by,political_spectrum,caption,0.9327609378541867,0.922081532338595,12
16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by,political_spectrum,justification,0.6509959389333216,0.5624728661942707,12
16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by,political_spectrum,perception,0.6046914075153872,0.5636830555555555,12
16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by,personality,caption,0.9327609378541867,0.9255278060108313,24
16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by,personality,justification,0.6509959389333215,0.5877204746055913,24
16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by,personality,perception,0.6046914075153871,0.564477380952381,24
16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8,gender,caption,0.8029837245158212,0.7930412281159439,12
16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8,gender,justification,0.6578616556461011,0.648369550136929,12
16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8,gender,perception,0.5732890161383702,0.5526350954270597,12
16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8,economic_status,caption,0.8029837245158212,0.7778063517097634,12
16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8,economic_status,justification,0.657861655646101,0.6162955372151366,12
16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8,economic_status,perception,0.5732890161383702,0.5094507549130765,12
16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8,political_spectrum,caption,0.802983724515821,0.7861260767090595,12
16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8,political_spectrum,justification,0.6578616556461011,0.6225515639184007,12
16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8,political_spectrum,perception,0.5732890161383702,0.5536674003212395,12
